course_id,program,number,credits,name
25,COMP,353,4,Databases
26,COMP,371,4,"Computer Graphics"
28,COMP,426,4,"Multicore Programming"
29,COMP,445,4,"Data Communication and Computer Networks"
30,COMP,451,4,"Database Design"
31,COMP,465,3,"Design and Analysis of Algorithms"
32,COMP,472,4,"Artificial Intelligence"
33,COMP,473,4,"Pattern Recognition"
34,COMP,474,4,"Intelligent Systems"
35,COMP,476,4,"Advanced Game Development"
36,COMP,477,4,"Animation for Computer Games"
37,COMP,478,4,"Image Processing"
38,COMP,479,4,"Information Retrieval and Web Search"
55,SOEN,422,4,"Embedded Systems and Software"
56,SOEN,423,4,"Distributed Systems"
21,COMP,345,3,"Advanced Program Design with C++"
