id,program,number,credits,name 
1,ENGR,201,1.5,"Professional Practice and Responsibility"
2,ENGR,202,1.5,"Sustainable Development and Environmental Stewardship"
3,ENGR,213,3,"Applied Ordinary Differential Equations"
4,ENGR,233,3,"Applied Advanced Calculus"
5,ENGR,242,3,Statics
6,ENGR,243,3,Dynamics
7,ENGR,244,3,"Mechanics of Materials"
8,ENGR,245,3,"Mechanical Analysis"
9,ENGR,301,3,"Engineering Management Principles and Economics"
10,ENGR,371,3,"Probability and Statistics in Engineering"
11,ENGR,391,3,"Numerical Methods in Engineering"
12,ENGR,392,3,"Impact of Technology on Society"
14,ENCS,282,3,"Technical Writing and Communication"
15,COMP,232,3,"Mathematics for Computer Science"
16,COMP,248,3,"Object Oriented Programming I"
17,COMP,249,3,"Object Oriented Programming II"
18,COMP,326,3,"Computer Architecture"
19,COMP,335,3,"Introduction to Theoretical Computer Science"
20,COMP,444,4,"System Software Design"
21,COMP,345,3,"Advanced Program Design with C++"
22,COMP,346,4,"Operating Systems"
23,COMP,348,3,"Principles of Programming Languages"
24,COMP,352,3,"Data Structures and Algorithms"
25,COMP,353,4,Databases
26,COMP,371,4,"Computer Graphics"
27,COMP,376,4,"Introduction to Game Development"
28,COMP,426,4,"Multicore Programming"
29,COMP,445,4,"Data Communication and Computer Networks"
30,COMP,451,4,"Database Design"
31,COMP,465,3,"Design and Analysis of Algorithms"
32,COMP,472,4,"Artificial Intelligence"
33,COMP,473,4,"Pattern Recognition"
34,COMP,474,4,"Intelligent Systems"
35,COMP,476,4,"Advanced Game Development"
36,COMP,477,4,"Animation for Computer Games"
37,COMP,478,4,"Image Processing"
38,COMP,479,4,"Information Retrieval and Web Search"
41,SOEN,228,4,"System Hardware"
42,SOEN,287,3,"Web Programming"
43,SOEN,321,3,"Information Systems Security"
44,SOEN,331,3,"Introduction to Formal Methods for Software Engineering"
45,SOEN,341,3,"Software Process"
46,SOEN,342,3,"Software Requirements and Specifications"
47,SOEN,343,3,"Software Architecture and Design I"
48,SOEN,344,3,"Software Architecture and Design II"
49,SOEN,345,3,"Software Testing, Verification and Quality Assurance"
50,SOEN,357,3,"User Interface Design"
51,SOEN,384,3,"Management, Measurement and Quality Control"
52,SOEN,385,3,"Control Systems and Applications"
53,SOEN,387,3,"Web-Based Enterprise Application Design"
54,SOEN,390,3.5,"Software Engineering Team Design Project"
55,SOEN,422,4,"Embedded Systems and Software"
56,SOEN,423,4,"Distributed Systems"
57,SOEN,448,3,"Management of Evolving Systems"
58,SOEN,449,3,"Component Engineering"
59,SOEN,487,4,"Web Services and Applications"
60,SOEN,490,4,"Capstone Software Engineering Design Project"
62,AERO,480,3.5,"Flight Control Systems"
63,AERO,482,3,"Avionic Navigation Systems"
64,COMP,428,4,"Parallel Programming"
65,COMP,442,4,"Compiler Design"
66,COEN,320,3,"Introduction to Real-Time Systems"
67,ELEC,275,3.5,"Principles of Electrical Engineering"
72,ADMI,201,3,"Introduction to Administration"
73,ADMI,202,3,"Perspective on Business"
74,MANA,201,3,"Introduction to Business and Management"
75,MANA,202,3,"Human Behaviour in Organizations"
76,MANA,300,3,"Entrepreneurship: Launching Your Business"
77,MARK,201,3,"Introduction to Marketing"
78,URBS,230,3,"Urban Development"
79,BIOL,206,3,"Elementary Genetics"
80,BIOL,261,3,"Molecular and General Genetics"
81,CHEM,217,3,"Introductory Analytical Chemistry I"
82,CHEM,221,3,"Introductory Organic Chemistry I"
83,CIVI,231,3,"Geology for Civil Engineers"
84,ELEC,321,3,"Introduction to Semiconductor Materials and Devices"
85,ENGR,251,3,"Thermodynamics I"
86,ENGR,361,3,"Fluid Mechanics I"
87,MECH,221,3,"Materials Science"
88,PHYS,252,3,Optics
89,PHYS,384,3,"Introduction to Astronomy"
90,PHYS,385,3,Astrophysics
