id,section_id,section_code,start_time,end_time,instructor,days,semester
1,1,AA,18:30:00,21:00:00,"BASSEL ATALLAH",M-WW-----,Summer
2,1,G,16:15:00,17:30:00,"REMI ALAURENT",-T-----,Fall
3,1,H,16:15:00,17:30:00,"REMI ALAURENT",---J---,Fall
4,1,Q,16:15:00,17:30:00,"REMI ALAURENT",-T-----,Winter
5,2,AA,11:45:00,13:00:00,"JOHN HADJINICOLAOU",M-WWW----,Summer
6,2,G,16:15:00,17:30:00,"JOHN HADJINICOLAOU",----F--,Fall
7,2,H,16:15:00,17:30:00,"JOHN HADJINICOLAOU",---J---,Fall
8,2,R,16:15:00,17:30:00,"JOHN HADJINICOLAOU",---J---,Winter
9,2,SS,17:45:00,19:00:00,"RAHIM TADAYON",--W----,Winter
10,3,AA,10:15:00,12:45:00,"ALEXANDRE PARADIS",-T-J---,Summer
11,3,P,11:45:00,13:00:00,"DIMITER DRYANOV",M-WWW----,Fall
12,3,R,08:45:00,10:00:00,"NATALIIA ROSSOKHATA",--W-F--,Fall
13,3,T,10:15:00,11:30:00,"GEORGIOS VATISTAS",-T-J---,Fall
14,3,U,11:45:00,13:00:00,"ALEXEY KOKOTOV",--W-F--,Fall
15,3,V,08:45:00,10:00:00,"CIPRIAN ALECSANDRU",--W-F--,Fall
16,3,X,10:15:00,11:30:00,"DMITRY KOROTKIN",-T-J---,Fall
17,3,XX,17:45:00,20:15:00,"DIMITER DRYANOV",----F--,Fall
18,3,F,14:45:00,16:00:00,"NATALIIA ROSSOKHATA",-T-J---,Winter
19,3,G,14:45:00,16:00:00,"M. OMAIR AHMAD",-T-J---,Winter
20,3,J,14:45:00,16:00:00,"ALEXEY KOKOTOV",-T-J---,Winter
21,4,CC,10:45:00,13:15:00,"DONALD DAVIS",-T-J---,Summer
22,4,P,13:15:00,14:30:00,"RAMA BHAT",-T-J---,Fall
23,4,Q,13:15:00,14:30:00,"DMITRY KOROTKIN",-T-J---,Fall
24,4,J,16:15:00,17:30:00,"DIMITER DRYANOV",M-WWW----,Winter
25,4,R,11:45:00,13:00:00,"ALEXANDER SHNIRELMAN",-T-J---,Winter
26,4,S,08:45:00,10:00:00,"CHANTAL DAVID",--W-F--,Winter
27,4,T,10:15:00,11:30:00,"IMAN GOHAR",--W-F--,Winter
28,4,U,08:45:00,10:00:00,"ALEXANDER SHNIRELMAN",-T-J---,Winter
29,4,V,08:45:00,10:00:00,"HASHEM AKBARI",-T-J---,Winter
30,4,X,10:15:00,11:30:00,"CHANTAL DAVID",--W-F--,Winter
31,5,T,10:15:00,11:30:00,"ALEXANDRE PARADIS",--W-F--,Fall
32,5,V,10:15:00,11:30:00,"THEODORE STATHOPOULOS",-T-J---,Fall
33,5,X,10:15:00,11:30:00,"JAVAD DARGAHI",-T-J---,Fall
34,5,YY,17:45:00,20:15:00,"CHELLAIYAH RAJALINGHAM",-T-----,Fall
35,5,J,11:45:00,13:00:00,"THEODORE STATHOPOULOS",-T-J---,Winter
36,5,L,11:45:00,13:00:00,"CHELLAIYAH RAJALINGHAM",-T-J---,Winter
37,6,AA,18:30:00,21:00:00,"ALEXANDRE PARADIS",-T-J---,Summer
38,6,T,11:45:00,13:00:00,"RAMA BHAT",-T-J---,Winter
39,6,V,10:15:00,11:30:00,"THEODORE STATHOPOULOS",--W-F--,Winter
40,6,X,11:45:00,13:00:00,"ASHOK KAUSHAL",-T-J---,Winter
41,6,TT,17:45:00,20:15:00,"ALEXANDRE PARADIS",---J---,Winter
42,7,AA,18:30:00,21:00:00,"RAJAMOHAN GANESAN",M-WWW----,Summer
43,7,AB,18:30:00,21:00:00,"WAIZUDDIN AHMED",M-WWW----,Summer
44,7,M,13:15:00,14:30:00,"SURAJ JOSHI",-T-J---,Winter
45,7,T,13:15:00,14:30:00,"WAIZUDDIN AHMED",-T-J---,Winter
46,7,V,08:45:00,10:00:00,"CHELLAIYAH RAJALINGHAM",--W-F--,Winter
47,7,X,13:15:00,14:30:00,"CHELLAIYAH RAJALINGHAM",-T-J---,Winter
48,7,LL,17:45:00,20:15:00,"MICHELLE NOKKEN",--W----,Winter
49,8,V,13:15:00,14:30:00,"DACIAN EMILIAN ROMAN",-T-J---,Winter
50,8,CV,15:45:00,18:15:00,"PIERRE GAUTHIER",-T-J---,Summer
51,8,M,16:15:00,17:30:00,"HOI DICK NG",M-WWW----,Fall
52,8,T,10:15:00,11:30:00,"LYES KADEM",-T-J---,Fall
53,8,T,08:45:00,10:00:00,"ALEXANDRE PARADIS",--W-F--,Winter
54,8,V,10:15:00,11:30:00,"HASHEM AKBARI",-T-J---,Winter
55,8,XX,17:45:00,20:15:00,"CHELLAIYAH RAJALINGHAM",----F--,Winter
56,8,F,16:15:00,17:30:00,"KRZYSZTOF SKONIECZNY",-T-J---,Fall
57,8,U,10:15:00,11:30:00,"LUIS RODRIGUES",--W-F--,Winter
58,9,AA,18:30:00,21:00:00,"SHAHRAM SHARIFI",-T-J---,Summer
59,9,AB,18:30:00,21:00:00,"SALEH AHMAD ABU DABOUS",-T-J---,Summer
60,9,G,16:15:00,17:30:00,"GERARD GOUW",-T-J---,Fall
61,9,H,16:15:00,17:30:00,"FUZHAN NASIRI",-T-J---,Fall
62,9,FF,17:45:00,20:15:00,"JIAN LI HAO",----F--,Fall
63,9,II,17:45:00,20:15:00,"SHAHRAM SHARIFI",----F--,Fall
64,9,R,16:15:00,17:30:00,"JIAN LI HAO",-T-J---,Winter
65,9,SS,17:45:00,20:15:00,"GERARD GOUW",M-WW-----,Winter
66,9,AA,11:45:00,14:30:00,"DONALD DAVIS",-T-J---,Summer
67,9,AB,18:30:00,21:00:00,"SURAJ JOSHI",M-WWW----,Summer
68,9,T,16:15:00,17:30:00,"NABIL ESMAIL",-T-J---,Fall
69,9,X,08:45:00,10:00:00,"ZHI LI",--W-F--,all
70,9,Y,16:15:00,17:30:00,"ALEXANDRE PARADIS",-T-J---,Fall
71,9,AA,14:45:00,17:30:00,"MARIUS PARASCHIVOIU",-T-J---,Summer
72,9,L,08:45:00,10:00:00,"CHARLES KIYANDA",M-WWW----,Fall
